Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	0.233918129	2.105263158	0.0	22050.0
1	Spectrogram 1	1	0.233918129	2.105263158	0.0	22050.0
2	Waveform 1	1	10.467836257	14.327485380	0.0	22050.0
2	Spectrogram 1	1	10.467836257	14.327485380	0.0	22050.0
3	Waveform 1	1	21.988304094	26.023391813	0.0	22050.0
3	Spectrogram 1	1	21.988304094	26.023391813	0.0	22050.0
4	Waveform 1	1	34.035087719	38.070175439	0.0	22050.0
4	Spectrogram 1	1	34.035087719	38.070175439	0.0	22050.0
5	Waveform 1	1	45.555555556	50.350877193	0.0	22050.0
5	Spectrogram 1	1	45.555555556	50.350877193	0.0	22050.0
6	Waveform 1	1	57.693392766	61.845439549	0.0	22050.0
6	Spectrogram 1	1	57.693392766	61.845439549	0.0	22050.0
7	Waveform 1	1	67.868831362	74.593977561	0.0	22050.0
7	Spectrogram 1	1	67.868831362	74.593977561	0.0	22050.0
8	Waveform 1	1	80.675848906	85.880527268	0.0	22050.0
8	Spectrogram 1	1	80.675848906	85.880527268	0.0	22050.0
9	Waveform 1	1	92.634329768	97.839008131	0.0	22050.0
9	Spectrogram 1	1	92.634329768	97.839008131	0.0	22050.0
10	Waveform 1	1	104.447195265	110.002750821	0.0	22050.0
10	Spectrogram 1	1	104.447195265	110.002750821	0.0	22050.0
11	Waveform 1	1	117.078774213	122.575850236	0.0	22050.0
11	Spectrogram 1	1	117.078774213	122.575850236	0.0	22050.0
12	Waveform 1	1	129.264094035	133.650058948	0.0	22050.0
12	Spectrogram 1	1	129.264094035	133.650058948	0.0	22050.0
13	Waveform 1	1	140.784561872	145.404444913	0.0	22050.0
13	Spectrogram 1	1	140.784561872	145.404444913	0.0	22050.0
14	Waveform 1	1	152.597427369	157.860585263	0.0	22050.0
14	Spectrogram 1	1	152.597427369	157.860585263	0.0	22050.0
15	Waveform 1	1	164.357231533	168.801675977	0.0	22050.0
15	Spectrogram 1	1	164.357231533	168.801675977	0.0	22050.0
16	Waveform 1	1	176.754892351	180.965418667	0.0	22050.0
16	Spectrogram 1	1	176.754892351	180.965418667	0.0	22050.0
17	Waveform 1	1	189.035594106	193.304599954	0.0	22050.0
17	Spectrogram 1	1	189.035594106	193.304599954	0.0	22050.0
18	Waveform 1	1	200.380623345	205.936178901	0.0	22050.0
18	Spectrogram 1	1	200.380623345	205.936178901	0.0	22050.0
19	Waveform 1	1	213.259361903	218.230122136	0.0	22050.0
19	Spectrogram 1	1	213.259361903	218.230122136	0.0	22050.0
20	Waveform 1	1	224.896788803	229.224274183	0.0	22050.0
20	Spectrogram 1	1	224.896788803	229.224274183	0.0	22050.0
21	Waveform 1	1	236.826613365	242.674566581	0.0	22050.0
21	Spectrogram 1	1	236.826613365	242.674566581	0.0	22050.0
22	Waveform 1	1	249.674296648	253.767863899	0.0	22050.0
22	Spectrogram 1	1	249.674296648	253.767863899	0.0	22050.0
23	Waveform 1	1	261.253244016	266.691840507	0.0	22050.0
23	Spectrogram 1	1	261.253244016	266.691840507	0.0	22050.0
24	Waveform 1	1	274.528097817	278.797103665	0.0	22050.0
24	Spectrogram 1	1	274.528097817	278.797103665	0.0	22050.0
25	Waveform 1	1	286.457922379	291.194764484	0.0	22050.0
25	Spectrogram 1	1	286.457922379	291.194764484	0.0	22050.0
26	Waveform 1	1	299.102992882	303.781355455	0.0	22050.0
26	Spectrogram 1	1	299.102992882	303.781355455	0.0	22050.0
27	Waveform 1	1	311.559133232	316.237495806	0.0	22050.0
27	Spectrogram 1	1	311.559133232	316.237495806	0.0	22050.0
28	Waveform 1	1	323.664396390	328.401238496	0.0	22050.0
28	Spectrogram 1	1	323.664396390	328.401238496	0.0	22050.0
29	Waveform 1	1	335.665966405	338.999299739	0.0	22050.0
29	Spectrogram 1	1	335.665966405	338.999299739	0.0	22050.0
30	Waveform 1	1	346.367720791	350.041405896	0.0	22050.0
30	Spectrogram 1	1	346.367720791	350.041405896	0.0	22050.0
