Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
179	Waveform 1	1	939.125908113	940.919665239	0.0	YKD	A	s	f			
179	Spectrogram 1	1	939.125908113	940.919665239	0.0	YKD	A	s	f			
180	Waveform 1	1	950.901219017	952.443043963	0.0	YKD	A	s	f			
180	Spectrogram 1	1	950.901219017	952.443043963	0.0	YKD	A	s	f			
181	Waveform 1	1	957.426262809	960.787038100	0.0	YKD	A	c				
181	Spectrogram 1	1	957.426262809	960.787038100	0.0	YKD	A	c				
182	Waveform 1	1	962.127317397	963.820301652	0.0	YKD	A	s	f	y		
182	Spectrogram 1	1	962.127317397	963.820301652	0.0	YKD	A	s	f	y		
183	Waveform 1	1	967.165961322	971.222069433	0.0	YKD	A	c				
183	Spectrogram 1	1	967.165961322	971.222069433	0.0	YKD	A	c				
185	Waveform 1	1	972.229797938	974.330912325	0.0	YKD	A	r				post-trial?
185	Spectrogram 1	1	972.229797938	974.330912325	0.0	YKD	A	r				post-trial?
186	Waveform 1	1	974.262890690	975.708981407	0.0	YKD	A	s	f			
186	Spectrogram 1	1	974.262890690	975.708981407	0.0	YKD	A	s	f			
184	Waveform 1	1	974.623153655	975.232829532	0.0	YKD	A	c				the bird
184	Spectrogram 1	1	974.623153655	975.232829532	0.0	YKD	A	c				the bird
187	Waveform 1	1	978.067066774	979.059679567	0.0	YKD	A	c				playback
187	Spectrogram 1	1	978.067066774	979.059679567	0.0	YKD	A	c				playback
188	Waveform 1	1	983.181290354	984.692883439	0.0	YKD	A	c				
188	Spectrogram 1	1	983.181290354	984.692883439	0.0	YKD	A	c				
190	Waveform 1	1	985.791307902	987.600180960	0.0	YKD	A	s	f			
190	Spectrogram 1	1	985.791307902	987.600180960	0.0	YKD	A	s	f			
189	Waveform 1	1	988.406364093	989.640831779	0.0	YKD	A	c				
189	Spectrogram 1	1	988.406364093	989.640831779	0.0	YKD	A	c				
191	Waveform 1	1	994.105070332	994.901176023	0.0	YKD	A	c				
191	Spectrogram 1	1	994.105070332	994.901176023	0.0	YKD	A	c				
192	Waveform 1	1	996.306957903	997.360034418	0.0	YKD	A	c				
192	Spectrogram 1	1	996.306957903	997.360034418	0.0	YKD	A	c				
193	Waveform 1	1	997.526309657	999.068134604	0.0	YKD	A	s	f			
193	Spectrogram 1	1	997.526309657	999.068134604	0.0	YKD	A	s	f			
194	Waveform 1	1	999.748351581	1001.421181262	0.0	YKD	A	c				
194	Spectrogram 1	1	999.748351581	1001.421181262	0.0	YKD	A	c				
195	Waveform 1	1	1003.270363624	1003.819575778	0.0	YKD	A	c				
195	Spectrogram 1	1	1003.270363624	1003.819575778	0.0	YKD	A	c				
196	Waveform 1	1	1009.165577119	1010.878715948	0.0	YKD	A	s	f			
196	Spectrogram 1	1	1009.165577119	1010.878715948	0.0	YKD	A	s	f			
197	Waveform 1	1	1012.813555251	1014.365457485	0.0	YKD	A	c				
197	Spectrogram 1	1	1012.813555251	1014.365457485	0.0	YKD	A	c				
198	Waveform 1	1	1014.703046762	1016.209601203	0.0	YKD	A	c				
198	Spectrogram 1	1	1014.703046762	1016.209601203	0.0	YKD	A	c				
199	Waveform 1	1	1021.641259486	1023.404784751	0.0	YKD	A	s	f			
199	Spectrogram 1	1	1021.641259486	1023.404784751	0.0	YKD	A	s	f			
200	Waveform 1	1	1024.079962995	1025.349701186	0.0	YKD	A	c				playback
200	Spectrogram 1	1	1024.079962995	1025.349701186	0.0	YKD	A	c				playback
201	Waveform 1	1	1045.327922042	1049.691387413	0.0	YKD	A	c				
201	Spectrogram 1	1	1045.327922042	1049.691387413	0.0	YKD	A	c				
202	Waveform 1	1	1055.057542825	1056.669908782	0.0	YKD	A	c				
202	Spectrogram 1	1	1055.057542825	1056.669908782	0.0	YKD	A	c				
203	Waveform 1	1	1064.857705277	1066.061941101	0.0	YKD	A	c				
203	Spectrogram 1	1	1064.857705277	1066.061941101	0.0	YKD	A	c				
205	Waveform 1	1	1069.206054373	1071.498637218	0.0	YKD	A	post-trial-sing				
205	Spectrogram 1	1	1069.206054373	1071.498637218	0.0	YKD	A	post-trial-sing				
204	Waveform 1	1	1072.566830318	1073.282317712	0.0	YKD	A	c				our bird
204	Spectrogram 1	1	1072.566830318	1073.282317712	0.0	YKD	A	c				our bird
207	Waveform 1	1	1091.406319538	1093.446970202	0.0	YKD	A	post-trial-sing				
207	Spectrogram 1	1	1091.406319538	1093.446970202	0.0	YKD	A	post-trial-sing				
206	Waveform 1	1	1093.799675255	1094.167496239	0.0	YKD	A	c				our bird
206	Spectrogram 1	1	1093.799675255	1094.167496239	0.0	YKD	A	c				our bird
208	Waveform 1	1	1110.260925032	1112.790324127	0.0	YKD	A	post-trial-sing				not noted
208	Spectrogram 1	1	1110.260925032	1112.790324127	0.0	YKD	A	post-trial-sing				not noted
209	Waveform 1	1	1134.869661845	1136.225056977	0.0	YKD	A	c				
209	Spectrogram 1	1	1134.869661845	1136.225056977	0.0	YKD	A	c				
210	Waveform 1	1	1137.837423245	1143.087690047	0.0	YKD	A	c				
210	Spectrogram 1	1	1137.837423245	1143.087690047	0.0	YKD	A	c				
211	Waveform 1	1	1144.246578233	1145.692668951	0.0	YKD	A	c				
211	Spectrogram 1	1	1144.246578233	1145.692668951	0.0	YKD	A	c				
212	Waveform 1	1	1147.305035063	1148.398420727	0.0	YKD	A	c				
212	Spectrogram 1	1	1147.305035063	1148.398420727	0.0	YKD	A	c				
213	Waveform 1	1	1213.517854688	1214.505428837	0.0	YKD	A	c				
213	Spectrogram 1	1	1213.517854688	1214.505428837	0.0	YKD	A	c				
214	Waveform 1	1	1244.626440374	1245.760135188	0.0	YKD	A	c				our bird something
214	Spectrogram 1	1	1244.626440374	1245.760135188	0.0	YKD	A	c				our bird something
215	Waveform 1	1	1249.826320432	1251.917357532	0.0	YKD	A	c				
215	Spectrogram 1	1	1249.826320432	1251.917357532	0.0	YKD	A	c				
216	Waveform 1	1	1255.509910740	1257.011426537	0.0	YKD	A	c				
216	Spectrogram 1	1	1255.509910740	1257.011426537	0.0	YKD	A	c				
217	Waveform 1	1	1272.978888621	1274.943959631	0.0	YKD	A	c				
217	Spectrogram 1	1	1272.978888621	1274.943959631	0.0	YKD	A	c				
218	Waveform 1	1	1278.294657542	1280.289960414	0.0	YKD	A	c				
218	Spectrogram 1	1	1278.294657542	1280.289960414	0.0	YKD	A	c				
219	Waveform 1	1	1291.143199537	1293.501284748	0.0	YKD	A	c				
219	Spectrogram 1	1	1291.143199537	1293.501284748	0.0	YKD	A	c				
220	Waveform 1	1	1295.808983835	1299.371304870	0.0	YKD	A	c				
220	Spectrogram 1	1	1295.808983835	1299.371304870	0.0	YKD	A	c				
221	Waveform 1	1	1302.021631722	1304.258789487	0.0	YKD	A	c				
221	Spectrogram 1	1	1302.021631722	1304.258789487	0.0	YKD	A	c				
