Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
86	Waveform 1	1	449.633460993	451.769845886	0.0	YKD	A	r				
86	Spectrogram 1	1	449.633460993	451.769845886	0.0	YKD	A	r				
85	Waveform 1	1	451.951237056	452.525642428	0.0	YKD	A	c				the bird
85	Spectrogram 1	1	451.951237056	452.525642428	0.0	YKD	A	c				the bird
14	Waveform 1	1	455.689910855	458.143730295	0.0	YKD	A	s	c	y		
14	Spectrogram 1	1	455.689910855	458.143730295	0.0	YKD	A	s	c	y		
87	Waveform 1	1	460.663051980	461.267689214	0.0	YKD	A	c				playback
87	Spectrogram 1	1	460.663051980	461.267689214	0.0	YKD	A	c				playback
89	Waveform 1	1	465.726889279	467.848158241	0.0	YKD	A	r				
89	Spectrogram 1	1	465.726889279	467.848158241	0.0	YKD	A	r				
16	Waveform 1	1	467.931295737	470.359921959	0.0	YKD	A	s	c			
16	Spectrogram 1	1	467.931295737	470.359921959	0.0	YKD	A	s	c			
88	Waveform 1	1	470.619412385	471.868996001	0.0	YKD	A	c				the bird then playback
88	Spectrogram 1	1	470.619412385	471.868996001	0.0	YKD	A	c				the bird then playback
17	Waveform 1	1	479.570563108	481.938725607	0.0	YKD	A	s	c			
17	Spectrogram 1	1	479.570563108	481.938725607	0.0	YKD	A	s	c			
90	Waveform 1	1	482.697041534	483.216021826	0.0	YKD	A	c				playback
90	Spectrogram 1	1	482.697041534	483.216021826	0.0	YKD	A	c				playback
18	Waveform 1	1	491.129211805	493.381485500	0.0	YKD	A	s	c	y	y	
18	Spectrogram 1	1	491.129211805	493.381485500	0.0	YKD	A	s	c	y	y	
92	Waveform 1	1	492.381314759	494.492506434	0.0	YKD	A	r			y	
92	Spectrogram 1	1	492.381314759	494.492506434	0.0	YKD	A	r			y	
91	Waveform 1	1	494.895598347	495.968829437	0.0	YKD	A	c				overlapping
91	Spectrogram 1	1	494.895598347	495.968829437	0.0	YKD	A	c				overlapping
19	Waveform 1	1	503.564585023	506.033520394	0.0	YKD	A	s	c	y		
19	Spectrogram 1	1	503.564585023	506.033520394	0.0	YKD	A	s	c	y		
93	Waveform 1	1	507.038729811	507.436782657	0.0	YKD	A	c				playback
93	Spectrogram 1	1	507.038729811	507.436782657	0.0	YKD	A	c				playback
95	Waveform 1	1	510.767326397	513.185875332	0.0	YKD	A	r				
