"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Bird","TrialType","Combo"
1,"Waveform 1",1,0,3.801225748,0,22050,"kdk","A","kdk-A"
1,"Spectrogram 1",1,0,3.801225748,0,22050,"kdk","A","kdk-A"
2,"Waveform 1",1,10.790576316,15.082282806,0,22050,"kdk","A","kdk-A"
2,"Spectrogram 1",1,10.790576316,15.082282806,0,22050,"kdk","A","kdk-A"
3,"Waveform 1",1,24.278796712,27.712161904,0,22050,"kdk","A","kdk-A"
3,"Spectrogram 1",1,24.278796712,27.712161904,0,22050,"kdk","A","kdk-A"
4,"Waveform 1",1,37.153916181,40.219420816,0,22050,"kdk","A","kdk-A"
4,"Spectrogram 1",1,37.153916181,40.219420816,0,22050,"kdk","A","kdk-A"
5,"Waveform 1",1,49.415934722,52.849299914,0,22050,"kdk","A","kdk-A"
5,"Spectrogram 1",1,49.415934722,52.849299914,0,22050,"kdk","A","kdk-A"
6,"Waveform 1",1,61.432712893,65.724419382,0,22050,"kdk","A","kdk-A"
6,"Spectrogram 1",1,61.432712893,65.724419382,0,22050,"kdk","A","kdk-A"
7,"Waveform 1",1,73.694731434,78.231678295,0,22050,"kdk","A","kdk-A"
7,"Spectrogram 1",1,73.694731434,78.231678295,0,22050,"kdk","A","kdk-A"
8,"Waveform 1",1,86.324610532,90.003216094,0,22050,"kdk","A","kdk-A"
8,"Spectrogram 1",1,86.324610532,90.003216094,0,22050,"kdk","A","kdk-A"
9,"Waveform 1",1,98.586629073,103.246196119,0,22050,"kdk","A","kdk-A"
9,"Spectrogram 1",1,98.586629073,103.246196119,0,22050,"kdk","A","kdk-A"
10,"Waveform 1",1,111.46174835,115.017733727,0,22050,"kdk","A","kdk-A"
10,"Spectrogram 1",1,111.46174835,115.017733727,0,22050,"kdk","A","kdk-A"
11,"Waveform 1",1,123.969007262,128.015473381,0,22050,"kdk","A","kdk-A"
11,"Spectrogram 1",1,123.969007262,128.015473381,0,22050,"kdk","A","kdk-A"
12,"Waveform 1",1,135.985785433,139.173910254,0,22050,"kdk","A","kdk-A"
12,"Spectrogram 1",1,135.985785433,139.173910254,0,22050,"kdk","A","kdk-A"
13,"Waveform 1",1,148.002563604,150.700207683,0,22050,"kdk","A","kdk-A"
13,"Spectrogram 1",1,148.002563604,150.700207683,0,22050,"kdk","A","kdk-A"
14,"Waveform 1",1,159.283620662,162.594365668,0,22050,"kdk","A","kdk-A"
14,"Spectrogram 1",1,159.283620662,162.594365668,0,22050,"kdk","A","kdk-A"
15,"Waveform 1",1,170.932538276,174.120663097,0,22050,"kdk","A","kdk-A"
15,"Spectrogram 1",1,170.932538276,174.120663097,0,22050,"kdk","A","kdk-A"
16,"Waveform 1",1,183.685037559,185.769580711,0,22050,"kdk","A","kdk-A"
16,"Spectrogram 1",1,183.685037559,185.769580711,0,22050,"kdk","A","kdk-A"
17,"Waveform 1",1,194.05089835,197.852124098,0,22050,"kdk","A","kdk-A"
17,"Spectrogram 1",1,194.05089835,197.852124098,0,22050,"kdk","A","kdk-A"
18,"Waveform 1",1,205.822436149,209.501041712,0,22050,"kdk","A","kdk-A"
18,"Spectrogram 1",1,205.822436149,209.501041712,0,22050,"kdk","A","kdk-A"
19,"Waveform 1",1,218.207074876,221.149959326,0,22050,"kdk","A","kdk-A"
19,"Spectrogram 1",1,218.207074876,221.149959326,0,22050,"kdk","A","kdk-A"
20,"Waveform 1",1,229.61075212,233.044117312,0,22050,"kdk","A","kdk-A"
20,"Spectrogram 1",1,229.61075212,233.044117312,0,22050,"kdk","A","kdk-A"
21,"Waveform 1",1,242.608491774,245.91923678,0,22050,"kdk","A","kdk-A"
21,"Spectrogram 1",1,242.608491774,245.91923678,0,22050,"kdk","A","kdk-A"
22,"Waveform 1",1,254.257409388,258.549115878,0,22050,"kdk","A","kdk-A"
22,"Spectrogram 1",1,254.257409388,258.549115878,0,22050,"kdk","A","kdk-A"
23,"Waveform 1",1,266.887288486,271.05637479,0,22050,"kdk","A","kdk-A"
23,"Spectrogram 1",1,266.887288486,271.05637479,0,22050,"kdk","A","kdk-A"
24,"Waveform 1",1,279.271927213,282.705292404,0,22050,"kdk","A","kdk-A"
24,"Spectrogram 1",1,279.271927213,282.705292404,0,22050,"kdk","A","kdk-A"
25,"Waveform 1",1,290.866809867,295.648997098,0,22050,"kdk","A","kdk-A"
25,"Spectrogram 1",1,290.866809867,295.648997098,0,22050,"kdk","A","kdk-A"
26,"Waveform 1",1,302.883588038,308.278876196,0,22050,"kdk","A","kdk-A"
26,"Spectrogram 1",1,302.883588038,308.278876196,0,22050,"kdk","A","kdk-A"
27,"Waveform 1",1,315.636087321,320.050413996,0,22050,"kdk","A","kdk-A"
27,"Spectrogram 1",1,315.636087321,320.050413996,0,22050,"kdk","A","kdk-A"
28,"Waveform 1",1,328.143346233,332.189812352,0,22050,"kdk","A","kdk-A"
28,"Spectrogram 1",1,328.143346233,332.189812352,0,22050,"kdk","A","kdk-A"
29,"Waveform 1",1,340.773225331,344.206590522,0,22050,"kdk","A","kdk-A"
29,"Spectrogram 1",1,340.773225331,344.206590522,0,22050,"kdk","A","kdk-A"
30,"Waveform 1",1,352.54476313,355.839637188,0,22050,"kdk","A","kdk-A"
30,"Spectrogram 1",1,352.54476313,355.839637188,0,22050,"kdk","A","kdk-A"
