"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Bird","TrialType","Combo"
1,"Waveform 1",1,0,3.099415205,0,22050,"lbw","dawn","lbw-dawn"
1,"Spectrogram 1",1,0,3.099415205,0,22050,"lbw","dawn","lbw-dawn"
2,"Waveform 1",1,11.169590643,14.093567251,0,22050,"lbw","dawn","lbw-dawn"
2,"Spectrogram 1",1,11.169590643,14.093567251,0,22050,"lbw","dawn","lbw-dawn"
3,"Waveform 1",1,20.877192982,26.023391813,0,22050,"lbw","dawn","lbw-dawn"
3,"Spectrogram 1",1,20.877192982,26.023391813,0,22050,"lbw","dawn","lbw-dawn"
4,"Waveform 1",1,33.976608187,37.953216374,0,22050,"lbw","dawn","lbw-dawn"
4,"Spectrogram 1",1,33.976608187,37.953216374,0,22050,"lbw","dawn","lbw-dawn"
5,"Waveform 1",1,45.497076023,48.713450292,0,22050,"lbw","dawn","lbw-dawn"
5,"Spectrogram 1",1,45.497076023,48.713450292,0,22050,"lbw","dawn","lbw-dawn"
6,"Waveform 1",1,56.669529879,60.529179002,0,22050,"lbw","dawn","lbw-dawn"
6,"Spectrogram 1",1,56.669529879,60.529179002,0,22050,"lbw","dawn","lbw-dawn"
7,"Waveform 1",1,68.716313505,72.575962628,0,22050,"lbw","dawn","lbw-dawn"
7,"Spectrogram 1",1,68.716313505,72.575962628,0,22050,"lbw","dawn","lbw-dawn"
8,"Waveform 1",1,80.821576663,85.032102979,0,22050,"lbw","dawn","lbw-dawn"
8,"Spectrogram 1",1,80.821576663,85.032102979,0,22050,"lbw","dawn","lbw-dawn"
9,"Waveform 1",1,92.751401224,96.435611751,0,22050,"lbw","dawn","lbw-dawn"
9,"Spectrogram 1",1,92.751401224,96.435611751,0,22050,"lbw","dawn","lbw-dawn"
10,"Waveform 1",1,104.012730865,107.287584666,0,22050,"lbw","dawn","lbw-dawn"
10,"Spectrogram 1",1,104.012730865,107.287584666,0,22050,"lbw","dawn","lbw-dawn"
11,"Waveform 1",1,115.474719169,119.100450163,0,22050,"lbw","dawn","lbw-dawn"
11,"Spectrogram 1",1,115.474719169,119.100450163,0,22050,"lbw","dawn","lbw-dawn"
12,"Waveform 1",1,127.229105134,132.024426771,0,22050,"lbw","dawn","lbw-dawn"
12,"Spectrogram 1",1,127.229105134,132.024426771,0,22050,"lbw","dawn","lbw-dawn"
13,"Waveform 1",1,137.93085952,142.843140222,0,22050,"lbw","dawn","lbw-dawn"
13,"Spectrogram 1",1,137.93085952,142.843140222,0,22050,"lbw","dawn","lbw-dawn"
14,"Waveform 1",1,151.499682388,154.365179464,0,22050,"lbw","dawn","lbw-dawn"
14,"Spectrogram 1",1,151.499682388,154.365179464,0,22050,"lbw","dawn","lbw-dawn"
15,"Waveform 1",1,162.493834434,166.528922154,0,22050,"lbw","dawn","lbw-dawn"
15,"Spectrogram 1",1,162.493834434,166.528922154,0,22050,"lbw","dawn","lbw-dawn"
16,"Waveform 1",1,174.716056657,179.102021569,0,22050,"lbw","dawn","lbw-dawn"
16,"Spectrogram 1",1,174.716056657,179.102021569,0,22050,"lbw","dawn","lbw-dawn"
17,"Waveform 1",1,186.43959933,189.597494067,0,22050,"lbw","dawn","lbw-dawn"
17,"Spectrogram 1",1,186.43959933,189.597494067,0,22050,"lbw","dawn","lbw-dawn"
18,"Waveform 1",1,197.843108102,200.884043774,0,22050,"lbw","dawn","lbw-dawn"
18,"Spectrogram 1",1,197.843108102,200.884043774,0,22050,"lbw","dawn","lbw-dawn"
19,"Waveform 1",1,209.831412195,213.281704593,0,22050,"lbw","dawn","lbw-dawn"
19,"Spectrogram 1",1,209.831412195,213.281704593,0,22050,"lbw","dawn","lbw-dawn"
20,"Waveform 1",1,221.878195821,225.445447283,0,22050,"lbw","dawn","lbw-dawn"
20,"Spectrogram 1",1,221.878195821,225.445447283,0,22050,"lbw","dawn","lbw-dawn"
21,"Waveform 1",1,233.593805282,236.868659084,0,22050,"lbw","dawn","lbw-dawn"
21,"Spectrogram 1",1,233.593805282,236.868659084,0,22050,"lbw","dawn","lbw-dawn"
22,"Waveform 1",1,245.523629844,248.155208791,0,22050,"lbw","dawn","lbw-dawn"
22,"Spectrogram 1",1,245.523629844,248.155208791,0,22050,"lbw","dawn","lbw-dawn"
23,"Waveform 1",1,256.634740955,260.377431013,0,22050,"lbw","dawn","lbw-dawn"
23,"Spectrogram 1",1,256.634740955,260.377431013,0,22050,"lbw","dawn","lbw-dawn"
24,"Waveform 1",1,268.506085984,272.19029651,0,22050,"lbw","dawn","lbw-dawn"
24,"Spectrogram 1",1,268.506085984,272.19029651,0,22050,"lbw","dawn","lbw-dawn"
25,"Waveform 1",1,280.032751172,283.249125441,0,22050,"lbw","dawn","lbw-dawn"
25,"Spectrogram 1",1,280.032751172,283.249125441,0,22050,"lbw","dawn","lbw-dawn"
26,"Waveform 1",1,291.377780412,294.769593277,0,22050,"lbw","dawn","lbw-dawn"
26,"Spectrogram 1",1,291.377780412,294.769593277,0,22050,"lbw","dawn","lbw-dawn"
27,"Waveform 1",1,303.600002634,306.699417839,0,22050,"lbw","dawn","lbw-dawn"
27,"Spectrogram 1",1,303.600002634,306.699417839,0,22050,"lbw","dawn","lbw-dawn"
28,"Waveform 1",1,315.529827195,318.980119593,0,22050,"lbw","dawn","lbw-dawn"
28,"Spectrogram 1",1,315.529827195,318.980119593,0,22050,"lbw","dawn","lbw-dawn"
29,"Waveform 1",1,327.267905669,330.016443681,0,22050,"lbw","dawn","lbw-dawn"
29,"Spectrogram 1",1,327.267905669,330.016443681,0,22050,"lbw","dawn","lbw-dawn"
30,"Waveform 1",1,337.735741926,340.755782313,0,22050,"lbw","dawn","lbw-dawn"
30,"Spectrogram 1",1,337.735741926,340.755782313,0,22050,"lbw","dawn","lbw-dawn"
