Selection	View	Channel	begin time(s)	end time(s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	347.8	350.2269006	0	22050
1	Spectrogram 1	1	347.8	350.2269006	0	22050
2	Waveform 1	1	359.4374269	363.0631579	0	22050
2	Spectrogram 1	1	359.4374269	363.0631579	0	22050
3	Waveform 1	1	372.3321637	375.9871345	0	22050
3	Spectrogram 1	1	372.3321637	375.9871345	0	22050
4	Waveform 1	1	385.3525966	388.3350527	0	22050
4	Spectrogram 1	1	385.3525966	388.3350527	0	22050
5	Waveform 1	1	397.3116609	400.8789124	0	22050
5	Spectrogram 1	1	397.3116609	400.8789124	0	22050
6	Waveform 1	1	409.6712386	412.9168526	0	22050
6	Spectrogram 1	1	409.6712386	412.9168526	0	22050
7	Waveform 1	1	423.3846889	427.0688994	0	22050
7	Spectrogram 1	1	423.3846889	427.0688994	0	22050
8	Waveform 1	1	436.4902016	439.5018975	0	22050
8	Spectrogram 1	1	436.4902016	439.5018975	0	22050
9	Waveform 1	1	448.4785057	451.6364005	0	22050
9	Spectrogram 1	1	448.4785057	451.6364005	0	22050
10	Waveform 1	1	460.5265558	463.8014096	0	22050
10	Spectrogram 1	1	460.5265558	463.8014096	0	22050
11	Waveform 1	1	473.3043336	476.5791874	0	22050
11	Spectrogram 1	1	473.3043336	476.5791874	0	22050
12	Waveform 1	1	485.8101101	488.5001685	0	22050
12	Spectrogram 1	1	485.8101101	488.5001685	0	22050
13	Waveform 1	1	497.9738528	500.7223908	0	22050
13	Spectrogram 1	1	497.9738528	500.7223908	0	22050
14	Waveform 1	1	510.001689	513.2473031	0	22050
14	Spectrogram 1	1	510.001689	513.2473031	0	22050
15	Waveform 1	1	522.0484727	525.5572446	0	22050
15	Spectrogram 1	1	522.0484727	525.5572446	0	22050
16	Waveform 1	1	535.0779196	538.4989722	0	22050
16	Spectrogram 1	1	535.0779196	538.4989722	0	22050
17	Waveform 1	1	548.4989722	551.3059897	0	22050
17	Spectrogram 1	1	548.4989722	551.3059897	0	22050
18	Waveform 1	1	560.5219953	563.7091298	0	22050
18	Spectrogram 1	1	560.5219953	563.7091298	0	22050
19	Waveform 1	1	573.1243345	575.8436327	0	22050
19	Spectrogram 1	1	573.1243345	575.8436327	0	22050
20	Waveform 1	1	586.4334059	590.293055	0	22050
20	Spectrogram 1	1	586.4334059	590.293055	0	22050
21	Waveform 1	1	598.9480258	602.9831135	0	22050
21	Spectrogram 1	1	598.9480258	602.9831135	0	22050
22	Waveform 1	1	611.4953615	614.7117357	0	22050
22	Spectrogram 1	1	611.4953615	614.7117357	0	22050
23	Waveform 1	1	623.8637825	626.7292796	0	22050
23	Spectrogram 1	1	623.8637825	626.7292796	0	22050
24	Waveform 1	1	637.0801568	640.8228469	0	22050
24	Spectrogram 1	1	637.0801568	640.8228469	0	22050
25	Waveform 1	1	650.5184948	653.2962726	0	22050
25	Spectrogram 1	1	650.5184948	653.2962726	0	22050
26	Waveform 1	1	662.5360387	665.3430562	0	22050
26	Spectrogram 1	1	662.5360387	665.3430562	0	22050
27	Waveform 1	1	675.6648702	678.822765	0	22050
27	Spectrogram 1	1	675.6648702	678.822765	0	22050
28	Waveform 1	1	689.4075603	692.6824141	0	22050
28	Spectrogram 1	1	689.4075603	692.6824141	0	22050
29	Waveform 1	1	702.3327974	705.5784115	0	22050
29	Spectrogram 1	1	702.3327974	705.5784115	0	22050
30	Waveform 1	1	715.3444933	717.7359637	0	22050
30	Spectrogram 1	1	715.3444933	717.7359637	0	22050
